,version,soft_accuracy_5,soft_accuracy_10,mae,augmented_soft_accuracy_5,augmented_soft_accuracy_10,augmented_mae,adience_exact,adience_one_off,augmented_adience_exact,augmented_adience_one_off
0,1,0.426,0.694,8.1858833694458,0.438,0.736,7.732486305236816,0.4196750902527076,0.7703068592057761,0.4390794223826715,0.8104693140794224
1,2,0.422,0.691,8.667407287597657,0.428,0.71,8.34468325805664,0.3528880866425993,0.7050992779783394,0.40997292418772563,0.7549638989169675
2,3,0.409,0.696,8.724625732421876,0.432,0.705,8.239188301086426,0.3282942238267148,0.6999097472924187,0.38537906137184114,0.7247292418772563
3,4,0.055,0.129,31.371046905517577,0.441,0.705,8.262740997314452,0.22563176895306858,0.3540162454873646,0.3713898916967509,0.7308212996389891
4,5,0.419,0.689,8.87196955871582,0.426,0.695,8.511255981445313,0.34814981949458484,0.7082581227436823,0.38064079422382674,0.7292418772563177
5,6,0.331,0.636,9.242577644348145,0.376,0.651,8.827872695922851,0.27594765342960287,0.6419223826714802,0.3319043321299639,0.6881768953068592
6,7,0.415,0.673,8.942056838989258,0.451,0.724,7.959619964599609,0.23465703971119134,0.5494133574007221,0.36913357400722024,0.7217960288808665
7,8,0.406,0.674,8.80990966796875,0.439,0.69,8.227661911010742,0.39846570397111913,0.7748194945848376,0.4550992779783393,0.8037003610108303
8,9,0.418,0.667,8.963719604492187,0.443,0.697,8.264196578979492,0.4217057761732852,0.7915162454873647,0.3170126353790614,0.8075361010830325
9,10,0.441,0.704,8.043863906860352,0.49,0.722,7.590220596313476,0.3720667870036101,0.7723375451263538,0.43163357400722024,0.7802346570397112
10,11,0.46,0.713,7.984090469360352,0.499,0.735,7.335670883178711,0.4083935018050541,0.7849729241877257,0.4356949458483754,0.799187725631769
11,12,0.442,0.716,7.952162803649903,0.486,0.733,7.750256065368652,0.4201263537906137,0.7804602888086642,0.42982851985559567,0.7899368231046932
12,13,0.416,0.698,8.235904693603516,0.492,0.715,7.752851211547852,0.33574007220216606,0.7344314079422383,0.4602888086642599,0.7861010830324909
13,14,0.468,0.723,7.832963737487793,0.465,0.723,7.688994598388672,0.43637184115523464,0.8061823104693141,0.4266696750902527,0.7705324909747292
14,15,0.464,0.729,7.92080704498291,0.493,0.735,7.3072994003295895,0.40252707581227437,0.7750451263537906,0.46164259927797835,0.8106949458483754
15,16,0.462,0.722,7.872118675231934,0.505,0.737,7.213263839721679,0.4135830324909747,0.7858754512635379,0.4790162454873646,0.8271660649819494
16,17,0.419,0.701,8.09627335357666,0.503,0.734,7.333125785827637,0.4180956678700361,0.7811371841155235,0.47224729241877256,0.8016696750902527
17,18,0.495,0.74,7.574039379119873,0.496,0.735,7.395864086151123,0.4618682310469314,0.8014440433212996,0.4305054151624549,0.7915162454873647
18,19,0.452,0.716,7.933731620788574,0.517,0.743,7.128115859985352,0.40117328519855594,0.7813628158844765,0.4584837545126354,0.831904332129964
19,20,0.463,0.717,8.031667312622071,0.512,0.744,7.189389663696289,0.40004512635379064,0.7847472924187726,0.4839801444043321,0.8043772563176895
